Rk,Tm,G,PF,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stD,RushAtt,RushYds,RushTD,Y/A,1stD
1,Los Angeles Rams,17,518,388,598,4557,46,8,7.3,236,465,2152,17,4.6,126
2,New England Patriots,17,490,361,502,4258,31,8,7.7,206,494,2191,22,4.4,128
3,Seattle Seahawks,17,483,325,481,3877,25,15,7.6,179,507,2096,19,4.1,125
4,Buffalo Bills,17,481,344,495,3683,29,10,6.9,196,547,2714,30,5,146
5,Detroit Lions,17,481,394,582,4303,35,8,6.9,224,442,2041,21,4.6,105
6,Jacksonville Jaguars,17,474,344,563,3779,29,12,6.3,196,489,1956,22,4,124
7,Dallas Cowboys,17,471,419,624,4527,31,12,6.9,229,465,2136,18,4.6,120
8,Indianapolis Colts,17,466,360,547,3873,25,14,6.7,199,442,2007,27,4.5,122
9,Chicago Bears,17,441,334,574,3826,28,7,6.4,190,505,2456,19,4.9,142
10,San Francisco 49ers,17,437,398,574,4157,33,16,6.9,237,481,1817,15,3.8,119
11,Baltimore Ravens,17,424,278,422,2985,23,11,6.4,141,507,2662,23,5.3,146
12,Cincinnati Bengals,17,414,412,640,4005,36,17,5.9,213,381,1591,11,4.2,102
13,Houston Texans,17,404,364,582,3707,24,9,6,184,475,1852,9,3.9,99
14,Denver Broncos,17,401,388,613,3807,25,11,6,196,456,2018,18,4.4,111
15,Pittsburgh Steelers,17,397,365,550,3440,26,9,5.9,160,407,1756,16,4.3,109
16,Green Bay Packers,17,391,328,489,3617,26,7,7,180,492,2037,18,4.1,124
17,New York Giants,17,381,323,526,3474,21,10,6.1,160,511,2195,22,4.3,141
18,Tampa Bay Buccaneers,17,380,351,558,3500,26,11,5.9,174,472,1947,13,4.1,115
19,Philadelphia Eagles,17,379,318,497,3303,26,7,6.2,166,478,1988,17,4.2,114
20,Los Angeles Chargers,17,368,367,569,3608,26,14,5.7,185,466,2067,10,4.4,117
21,Kansas City Chiefs,17,362,363,584,3639,23,12,5.8,189,430,1812,15,4.2,122
22,Washington Commanders,17,356,287,469,3129,19,12,6.2,159,484,2290,20,4.7,123
23,Arizona Cardinals,17,355,427,649,3955,29,11,5.6,216,366,1583,9,4.3,91
24,Atlanta Falcons,17,353,332,545,3523,19,8,6.2,185,477,2138,17,4.5,113
25,Miami Dolphins,17,347,322,479,3068,23,18,5.9,174,432,2044,14,4.7,104
26,Minnesota Vikings,17,344,298,484,2834,18,21,5.2,157,410,1841,15,4.5,102
27,Carolina Panthers,17,311,329,515,3048,24,12,5.5,170,461,1977,9,4.3,109
28,New Orleans Saints,17,306,397,591,3728,19,12,5.8,183,435,1603,9,3.7,101
29,New York Jets,17,300,298,494,2385,15,13,4.3,136,456,2096,11,4.6,115
30,Tennessee Titans,17,284,340,570,2824,15,8,4.5,156,378,1589,9,4.2,85
31,Cleveland Browns,17,279,323,558,2807,16,18,4.6,134,421,1649,10,3.9,100
32,Las Vegas Raiders,17,241,340,515,2851,20,19,4.9,161,369,1317,5,3.6,67

