index,Tm,PF,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stD,RushAtt,RushYds,RushTD,Y/A,1stD.1,EPA/Play,Total EPA,EPA/Pass,EPA/Rush,ADoT,Total Plays,Pass Percent,Rush Percent,Points Per Game,Total Yards,Yards Per Play,Passing Yards Per Attempt,Rushing Yards Per Attempt,Cluster
0,Los Angeles Rams,518,388,598,4557,46,8,7.3,236,465,2152,17,4.6,126,0.13,136.87,0.23,-0.01,9.51,1063,56.25587958607714,43.74412041392286,30.470588235294116,6709,6.311382878645343,7.3,4.6,1
1,New England Patriots,490,361,502,4258,31,8,7.7,206,494,2191,22,4.4,128,0.13,140.69,0.29,-0.03,9.57,996,50.401606425702816,49.59839357429719,28.823529411764707,6449,6.474899598393574,7.7,4.4,1
2,Seattle Seahawks,483,325,481,3877,25,15,7.6,179,507,2096,19,4.1,125,0.02,16.57,0.11,-0.07,8.27,988,48.68421052631579,51.31578947368421,28.41176470588235,5973,6.045546558704453,7.6,4.1,3
3,Buffalo Bills,481,344,495,3683,29,10,6.9,196,547,2714,30,5.0,146,0.12,132.57,0.17,0.08,7.54,1042,47.50479846449136,52.49520153550864,28.294117647058822,6397,6.13915547024952,6.9,5.0,4
4,Detroit Lions,481,394,582,4303,35,8,6.9,224,442,2041,21,4.6,105,0.07,78.79,0.17,-0.06,6.79,1024,56.8359375,43.1640625,28.294117647058822,6344,6.1953125,6.9,4.6,1
5,Jacksonville Jaguars,474,344,563,3779,29,12,6.3,196,489,1956,22,4.0,124,0.03,30.46,0.06,-0.01,8.92,1052,53.5171102661597,46.4828897338403,27.88235294117647,5735,5.451520912547529,6.3,4.0,3
6,Dallas Cowboys,471,419,624,4527,31,12,6.9,229,465,2136,18,4.6,120,0.08,94.83,0.16,-0.02,8.35,1089,57.30027548209367,42.69972451790633,27.705882352941178,6663,6.118457300275482,6.9,4.6,1
7,Indianapolis Colts,466,360,547,3873,25,14,6.7,199,442,2007,27,4.5,122,0.07,69.55,0.06,0.07,8.26,989,55.308392315470165,44.69160768452983,27.41176470588235,5880,5.945399393326593,6.7,4.5,1
8,Chicago Bears,441,334,574,3826,28,7,6.4,190,505,2456,19,4.9,142,0.07,80.5,0.08,0.06,9.29,1079,53.19740500463392,46.80259499536608,25.941176470588236,6282,5.822057460611678,6.4,4.9,4
9,San Francisco 49ers,437,398,574,4157,33,16,6.9,237,481,1817,15,3.8,119,0.07,77.67,0.16,-0.04,7.81,1055,54.40758293838862,45.59241706161137,25.705882352941178,5974,5.662559241706161,6.9,3.8,1
10,Baltimore Ravens,424,278,422,2985,23,11,6.4,141,507,2662,23,5.3,146,0.03,25.36,-0.04,0.08,8.41,929,45.425188374596345,54.57481162540366,24.941176470588236,5647,6.078579117330463,6.4,5.3,4
11,Cincinnati Bengals,414,412,640,4005,36,17,5.9,213,381,1591,11,4.2,102,-0.01,-10.46,-0.03,0.02,7.74,1021,62.683643486777676,37.31635651322233,24.352941176470587,5596,5.4809010773751226,5.9,4.2,5
12,Houston Texans,404,364,582,3707,24,9,6.0,184,475,1852,9,3.9,99,-0.02,-19.33,0.04,-0.09,8.62,1057,55.06149479659413,44.93850520340587,23.764705882352942,5559,5.25922421948912,6.0,3.9,5
13,Denver Broncos,401,388,613,3807,25,11,6.0,196,456,2018,18,4.4,111,0.04,42.38,0.08,-0.02,7.68,1069,57.343311506080454,42.65668849391955,23.58823529411765,5825,5.449017773620206,6.0,4.4,5
14,Pittsburgh Steelers,397,365,550,3440,26,9,5.9,160,407,1756,16,4.3,109,0.02,20.22,0.03,0.01,6.28,957,57.47126436781609,42.5287356321839,23.352941176470587,5196,5.429467084639499,5.9,4.3,5
15,Green Bay Packers,391,328,489,3617,26,7,7.0,180,492,2037,18,4.1,124,0.1,101.44,0.23,-0.03,9.31,981,49.84709480122324,50.15290519877675,23.0,5654,5.763506625891947,7.0,4.1,3
16,New York Giants,381,323,526,3474,21,10,6.1,160,511,2195,22,4.3,141,0.01,7.44,-0.01,0.03,8.89,1037,50.72324011571842,49.27675988428158,22.41176470588235,5669,5.466730954676953,6.1,4.3,3
17,Tampa Bay Buccaneers,380,351,558,3500,26,11,5.9,174,472,1947,13,4.1,115,-0.01,-11.61,-0.02,0.01,8.33,1030,54.1747572815534,45.8252427184466,22.352941176470587,5447,5.288349514563107,5.9,4.1,5
18,Philadelphia Eagles,379,318,497,3303,26,7,6.2,166,478,1988,17,4.2,114,0.01,12.98,0.05,-0.02,9.66,975,50.97435897435898,49.02564102564103,22.294117647058822,5291,5.426666666666667,6.2,4.2,3
19,Los Angeles Chargers,368,367,569,3608,26,14,5.7,185,466,2067,10,4.4,117,-0.04,-42.33,-0.06,-0.02,8.36,1035,54.97584541062802,45.02415458937198,21.647058823529413,5675,5.483091787439614,5.7,4.4,5
20,Kansas City Chiefs,362,363,584,3639,23,12,5.8,189,430,1812,15,4.2,122,0.03,32.2,0.04,0.02,8.26,1014,57.59368836291914,42.40631163708087,21.294117647058822,5451,5.375739644970414,5.8,4.2,5
21,Washington Commanders,356,287,469,3129,19,12,6.2,159,484,2290,20,4.7,123,0.0,-0.01,-0.01,0.01,9.25,953,49.21301154249738,50.78698845750262,20.941176470588236,5419,5.686253934942288,6.2,4.7,3
22,Arizona Cardinals,355,427,649,3955,29,11,5.6,216,366,1583,9,4.3,91,-0.02,-17.75,0.0,-0.06,7.55,1015,63.940886699507395,36.05911330049261,20.88235294117647,5538,5.456157635467981,5.6,4.3,5
23,Atlanta Falcons,353,332,545,3523,19,8,6.2,185,477,2138,17,4.5,113,-0.02,-26.02,-0.01,-0.04,8.03,1022,53.32681017612525,46.67318982387476,20.764705882352942,5661,5.539138943248532,6.2,4.5,3
24,Miami Dolphins,347,322,479,3068,23,18,5.9,174,432,2044,14,4.7,104,-0.02,-16.04,-0.01,-0.03,7.28,911,52.57958287596048,47.42041712403952,20.41176470588235,5112,5.611416026344676,5.9,4.7,2
25,Minnesota Vikings,344,298,484,2834,18,21,5.2,157,410,1841,15,4.5,102,-0.12,-116.28,-0.19,-0.03,8.03,894,54.138702460850105,45.86129753914989,20.235294117647058,4675,5.22930648769575,5.2,4.5,2
26,Carolina Panthers,311,329,515,3048,24,12,5.5,170,461,1977,9,4.3,109,-0.04,-44.31,-0.05,-0.04,7.19,976,52.76639344262295,47.23360655737705,18.294117647058822,5025,5.148565573770492,5.5,4.3,2
27,New Orleans Saints,306,397,591,3728,19,12,5.8,183,435,1603,9,3.7,101,-0.09,-98.53,-0.08,-0.12,8.47,1026,57.60233918128655,42.39766081871345,18.0,5331,5.195906432748538,5.8,3.7,5
28,New York Jets,300,298,494,2385,15,13,4.3,136,456,2096,11,4.6,115,-0.13,-136.22,-0.19,-0.07,7.21,950,52.0,48.0,17.647058823529413,4481,4.716842105263158,4.3,4.6,2
29,Tennessee Titans,284,340,570,2824,15,8,4.5,156,378,1589,9,4.2,85,-0.16,-162.39,-0.22,-0.07,7.57,948,60.12658227848101,39.87341772151899,16.705882352941178,4413,4.655063291139241,4.5,4.2,0
30,Cleveland Browns,279,323,558,2807,16,18,4.6,134,421,1649,10,3.9,100,-0.19,-195.47,-0.28,-0.05,7.25,979,56.99693564862104,43.00306435137895,16.41176470588235,4456,4.551583248212462,4.6,3.9,0
31,Las Vegas Raiders,241,340,515,2851,20,19,4.9,161,369,1317,5,3.6,67,-0.21,-203.57,-0.19,-0.26,6.49,884,58.2579185520362,41.742081447963805,14.176470588235293,4168,4.714932126696833,4.9,3.6,0
