Tm,EPA/Play,Total EPA,EPA/Pass,EPA/Rush,ADoT,Sack %,Scramble %,Int %
New England Patriots,0.13,140.69,0.29,-0.03,9.57,7.82%,10.42%,1.30%
Los Angeles Rams,0.13,136.87,0.23,-0.01,9.51,3.66%,1.11%,1.27%
Buffalo Bills,0.12,132.57,0.17,0.08,7.54,6.81%,8.86%,1.70%
Green Bay Packers,0.1,101.44,0.23,-0.03,9.31,5.23%,6.50%,1.26%
Dallas Cowboys,0.08,94.83,0.16,-0.02,8.35,4.53%,4.24%,1.75%
Detroit Lions,0.07,78.79,0.17,-0.06,6.79,6.23%,0.80%,1.28%
Chicago Bears,0.07,80.5,0.08,0.06,9.29,3.74%,6.85%,1.09%
San Francisco 49ers,0.07,77.67,0.16,-0.04,7.81,4.31%,4.15%,2.55%
Indianapolis Colts,0.07,69.55,0.06,0.07,8.26,4.81%,4.48%,2.32%
Denver Broncos,0.04,42.38,0.08,-0.02,7.68,3.42%,5.36%,1.64%
Kansas City Chiefs,0.03,32.2,0.04,0.02,8.26,6.81%,8.55%,1.74%
Jacksonville Jaguars,0.03,30.46,0.06,-0.01,8.92,6.34%,6.65%,1.85%
Baltimore Ravens,0.03,25.36,-0.04,0.08,8.41,8.91%,7.52%,2.18%
Pittsburgh Steelers,0.02,20.22,0.03,0.01,6.28,5.22%,2.19%,1.52%
Seattle Seahawks,0.02,16.57,0.11,-0.07,8.27,5.17%,2.68%,2.87%
Philadelphia Eagles,0.01,12.98,0.05,-0.02,9.66,6.09%,7.48%,1.22%
New York Giants,0.01,7.44,-0.01,0.03,8.89,7.68%,8.16%,1.60%
Washington Commanders,0,-0.01,-0.01,0.01,9.25,6.48%,11.38%,2.10%
Cincinnati Bengals,-0.01,-10.46,-0.03,0.02,7.74,5.22%,2.03%,2.46%
Tampa Bay Buccaneers,-0.01,-11.61,-0.02,0.01,8.33,5.94%,6.88%,1.72%
Arizona Cardinals,-0.02,-17.75,0,-0.06,7.55,7.91%,5.09%,1.47%
Miami Dolphins,-0.02,-16.04,-0.01,-0.03,7.28,7.13%,3%,3.38%
Houston Texans,-0.02,-19.33,0.04,-0.09,8.62,4.81%,4.96%,1.40%
Atlanta Falcons,-0.02,-26.02,-0.01,-0.04,8.03,4.44%,2.56%,1.37%
Los Angeles Chargers,-0.04,-42.33,-0.06,-0.02,8.36,8.76%,8.18%,2.04%
Carolina Panthers,-0.04,-44.31,-0.05,-0.04,7.19,5.99%,5.82%,2.05%
New Orleans Saints,-0.09,-98.53,-0.08,-0.12,8.47,7.25%,5.33%,1.78%
Minnesota Vikings,-0.12,-116.28,-0.19,-0.03,8.03,10.49%,4.90%,3.67%
New York Jets,-0.13,-136.22,-0.19,-0.07,7.21,9.82%,9.33%,2.13%
Tennessee Titans,-0.16,-162.39,-0.22,-0.07,7.57,8.63%,3.54%,1.23%
Cleveland Browns,-0.19,-195.47,-0.28,-0.05,7.25,7.97%,4.84%,2.81%
Las Vegas Raiders,-0.21,-203.57,-0.19,-0.26,6.49,10.65%,3.66%,3.16%
